number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,avg_max_min_length,avg_max_min_fairness,avg_max_min_customers,iterations
1,50,2,50,25.94,21.41042923927307,1733.02,1.435,0.9199999999999999,1.61,3.5
2,50,2,45,35.31,22.031301259994507,1430.095,2.255,0.84,2.885,5.0
3,50,2,45,41.17,25.85438561439514,1465.6750000000002,3.26,0.74,3.045,5.0
4,50,2,47,70.7,24.756673097610474,1701.08,5.345,0.7849999999999999,7.525,4.5
5,50,2,45,54.3,24.466784715652466,1452.865,1.8399999999999999,0.855,1.85,5.0
6,50,2,46,42.27,23.76922070980072,1465.8200000000002,2.505,0.7949999999999999,3.44,5.5
7,50,2,45,25.94,24.32118284702301,1463.98,2.2,0.8300000000000001,2.52,5.0
8,50,2,43,68.52,22.951966524124146,1412.38,1.595,0.8999999999999999,1.6549999999999998,3.5
9,50,2,43,66.33,23.032715678215027,1314.3899999999999,2.18,0.855,2.955,6.0
10,50,2,46,25.94,22.07999348640442,1477.1950000000002,3.255,0.8200000000000001,3.825,5.0
11,50,2,45,15.62,23.231441259384155,1448.435,2.705,0.79,3.9299999999999997,3.0
12,50,2,44,54.3,22.936827898025513,1425.125,1.34,0.925,1.415,3.0
13,50,2,47,39.06,22.30635666847229,1378.97,2.49,0.785,3.545,4.5
14,50,2,41,46.64,22.790308952331543,1308.5149999999999,1.63,0.88,1.6,5.0
15,50,2,42,14.38,21.12506592273712,1400.37,1.6800000000000002,0.875,2.0,1.0
16,50,2,47,27.81,21.756508469581604,1525.38,1.27,0.94,1.575,5.5
17,50,2,42,29.69,20.966395139694214,1339.555,1.4449999999999998,0.915,1.4300000000000002,4.0
18,50,2,42,33.44,21.32916259765625,1447.895,1.385,0.9199999999999999,1.1099999999999999,4.0
19,50,2,44,39.06,22.33133053779602,1464.505,1.0150000000000001,0.995,1.1,3.5
20,50,2,43,16.88,19.785306334495544,1293.6100000000001,2.275,0.8200000000000001,3.135,2.5
21,50,2,45,35.31,22.03987991809845,1256.645,1.6749999999999998,0.88,2.085,3.0
22,50,2,44,25.94,20.53961145877838,1386.425,2.1799999999999997,0.8300000000000001,2.79,4.0
23,50,2,44,58.67,21.79217767715454,1414.06,4.47,0.7,4.41,4.5
24,50,2,49,33.44,22.273689031600952,1543.435,1.92,0.855,2.1550000000000002,3.5
25,50,2,40,65.23,20.83895480632782,1317.3,2.885,0.76,3.275,2.0
26,50,2,43,66.33,21.114341139793396,1366.79,1.13,0.975,1.05,5.0
27,50,2,46,56.48,22.901469469070435,1652.0349999999999,1.765,0.865,1.76,4.0
28,50,2,45,25.94,21.722338795661926,1460.725,1.705,0.88,1.815,1.5
29,50,2,45,22.19,22.33041799068451,1389.8899999999999,1.6949999999999998,0.875,1.51,2.5
30,50,2,45,18.12,21.097274899482727,1379.82,2.27,0.81,2.49,4.0
