number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,avg_max_min_length,avg_max_min_fairness,avg_max_min_customers,iterations
1,50,2,50,25.94,21.27312207221985,1740.1,3.34,0.7849999999999999,5.665,3.0
2,50,2,45,35.31,22.47334611415863,1407.33,1.815,0.9199999999999999,1.865,6.5
3,50,2,45,41.17,20.982255220413208,1406.225,2.435,0.8600000000000001,2.8049999999999997,2.0
4,50,2,47,70.7,20.612722396850586,1701.0149999999999,1.415,0.97,1.375,3.5
5,50,2,45,54.3,19.616952300071716,1432.8,2.025,0.905,2.3449999999999998,4.5
6,50,2,46,42.27,20.89552402496338,1484.9850000000001,1.67,0.94,1.67,6.0
7,50,2,45,25.94,20.756979823112488,1408.885,2.18,0.89,2.28,3.0
8,50,2,43,68.52,20.23906445503235,1405.475,2.42,0.855,3.27,3.0
9,50,2,43,66.33,21.119013905525208,1303.0700000000002,1.0550000000000002,1.0,1.165,6.0
10,50,2,46,25.94,21.079997539520264,1427.3400000000001,2.08,0.89,1.93,4.5
11,50,2,45,15.62,20.013018012046814,1431.525,1.0750000000000002,1.0,1.1,3.0
12,50,2,44,54.3,20.198859691619873,1412.13,2.06,0.895,2.075,4.5
13,50,2,47,39.06,20.516871571540833,1419.775,2.235,0.875,2.45,2.5
14,50,2,41,46.64,19.363514184951782,1298.72,1.435,0.9650000000000001,1.92,4.5
15,50,2,42,14.38,19.055959224700928,1379.12,1.77,0.9199999999999999,2.11,1.5
16,50,2,47,27.81,22.96359145641327,1565.42,1.59,0.95,1.825,5.5
17,50,2,42,29.69,21.460609912872314,1383.405,2.2,0.89,1.995,7.0
18,50,2,42,33.44,20.169145822525024,1425.69,2.13,0.8899999999999999,2.43,2.0
19,50,2,44,39.06,20.954171657562256,1496.045,1.065,1.0,1.155,3.0
20,50,2,43,16.88,24.12374770641327,1283.63,1.175,0.995,1.105,5.5
21,50,2,45,35.31,21.44586753845215,1288.09,3.41,0.77,5.14,4.5
22,50,2,44,25.94,19.83374559879303,1391.73,2.11,0.895,2.5,5.5
23,50,2,44,58.67,22.4349285364151,1420.0349999999999,1.585,0.95,1.605,3.0
24,50,2,49,33.44,21.36984920501709,1522.3600000000001,1.8849999999999998,0.915,2.115,3.5
25,50,2,40,65.23,19.40250289440155,1340.9299999999998,3.355,0.835,5.105,1.5
26,50,2,43,66.33,20.127320647239685,1383.69,1.115,1.0,1.05,5.0
27,50,2,46,56.48,21.2906334400177,1657.755,1.4500000000000002,0.96,1.79,7.5
28,50,2,45,25.94,20.153801798820496,1458.425,1.29,0.985,1.3399999999999999,4.5
29,50,2,45,22.19,19.954206824302673,1408.2649999999999,3.1849999999999996,0.83,3.2649999999999997,4.5
30,50,2,45,18.12,20.405579924583435,1443.74,2.0,0.905,2.0300000000000002,7.0
