number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,avg_max_min_length,avg_max_min_fairness,avg_max_min_customers,iterations
1,50,2,50,25.94,22.196050763130188,1724.3049999999998,3.325,0.73,4.88,5.5
2,50,2,45,35.31,20.540756702423096,1422.33,1.185,0.96,1.475,4.0
3,50,2,45,41.17,21.83802366256714,1432.795,1.18,0.96,1.325,3.5
4,50,2,47,70.7,21.539477348327637,1727.0949999999998,1.0750000000000002,0.98,1.1949999999999998,5.0
5,50,2,45,54.3,19.639203548431396,1495.6,1.075,0.98,1.1,2.0
6,50,2,46,42.27,23.1821151971817,1494.0,1.0150000000000001,1.0,1.1,6.0
7,50,2,45,25.94,20.932568550109863,1440.31,3.52,0.77,5.64,4.5
8,50,2,43,68.52,20.917218327522278,1416.665,1.355,0.9299999999999999,1.505,3.5
9,50,2,43,66.33,20.354065656661987,1339.25,1.13,0.97,1.05,3.0
10,50,2,46,25.94,18.81054151058197,1468.9499999999998,1.26,0.9450000000000001,1.1600000000000001,4.5
11,50,2,45,15.62,19.67458462715149,1425.12,2.035,0.8300000000000001,2.4450000000000003,4.5
12,50,2,44,54.3,21.362768054008484,1424.915,1.355,0.9299999999999999,1.2850000000000001,4.5
13,50,2,47,39.06,20.365705370903015,1353.53,2.1550000000000002,0.825,2.01,4.0
14,50,2,41,46.64,20.959617257118225,1300.04,1.455,0.905,1.79,3.5
15,50,2,42,14.38,20.115116477012634,1356.685,1.5,0.915,1.54,4.0
16,50,2,47,27.81,20.67148780822754,1587.715,2.01,0.87,2.07,3.0
17,50,2,42,29.69,19.047045826911926,1376.7350000000001,1.1949999999999998,0.955,1.175,3.0
18,50,2,42,33.44,20.663296341896057,1367.045,1.375,0.925,1.335,3.0
19,50,2,44,39.06,23.43849217891693,1487.305,1.335,0.9299999999999999,1.2850000000000001,4.0
20,50,2,43,16.88,18.940167546272278,1335.97,1.4,0.915,1.545,4.5
21,50,2,45,35.31,18.974420428276062,1307.6950000000002,1.26,0.9450000000000001,1.37,5.0
22,50,2,44,25.94,18.923370003700256,1414.99,1.315,0.935,1.215,5.5
23,50,2,44,58.67,18.90866994857788,1410.405,1.665,0.895,1.75,2.0
24,50,2,49,33.44,20.709068536758423,1513.4,2.7849999999999997,0.815,3.475,2.0
25,50,2,40,65.23,18.706180334091187,1326.81,1.565,0.8999999999999999,1.6400000000000001,1.5
26,50,2,43,66.33,18.71541428565979,1333.53,1.355,0.925,1.345,6.5
27,50,2,46,56.48,20.18091869354248,1617.6,1.23,0.95,1.38,2.5
28,50,2,45,25.94,19.353426814079285,1456.505,1.03,0.995,1.05,3.5
29,50,2,45,22.19,19.10649573802948,1403.5149999999999,1.29,0.9450000000000001,1.51,4.5
30,50,2,45,18.12,19.193593621253967,1416.005,1.03,0.99,1.155,5.5
