number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,51.21729862689972,1693.705,2.5
2,50,2,45,35.31,54.075907945632935,1423.48,2.5
3,50,2,45,41.17,54.56075394153595,1417.055,5.5
4,50,2,47,70.7,54.159732699394226,1671.1999999999998,5.0
5,50,2,45,54.3,48.54486298561096,1463.025,3.5
6,50,2,46,42.27,50.95321881771088,1451.97,7.5
7,50,2,45,25.94,47.48752057552338,1431.155,3.5
8,50,2,43,68.52,41.40384101867676,1414.0700000000002,5.5
9,50,2,43,66.33,42.25936269760132,1321.095,4.5
10,50,2,46,25.94,33.54637634754181,1479.81,3.0
11,50,2,45,15.62,34.4470431804657,1405.475,8.0
12,50,2,44,54.3,32.62015759944916,1413.2350000000001,4.5
13,50,2,47,39.06,32.525195240974426,1352.6599999999999,6.5
14,50,2,41,46.64,31.400126934051514,1290.93,2.5
15,50,2,42,14.38,32.553154826164246,1366.51,3.5
16,50,2,47,27.81,39.064066886901855,1545.505,6.5
17,50,2,42,29.69,37.98737180233002,1351.92,7.0
18,50,2,42,33.44,30.13804864883423,1419.685,5.0
19,50,2,44,39.06,32.72158670425415,1496.855,2.5
20,50,2,43,16.88,33.74695408344269,1277.175,4.0
21,50,2,45,35.31,36.10638499259949,1325.495,3.5
22,50,2,44,25.94,34.08217704296112,1370.42,3.0
23,50,2,44,58.67,34.43435597419739,1419.5149999999999,2.5
24,50,2,49,33.44,34.93569278717041,1556.73,4.5
25,50,2,40,65.23,33.151630878448486,1321.57,5.5
26,50,2,43,66.33,37.865755915641785,1380.1599999999999,6.0
27,50,2,46,56.48,35.756537556648254,1600.8,5.5
28,50,2,45,25.94,33.09102785587311,1461.69,4.0
29,50,2,45,22.19,34.951067209243774,1383.9299999999998,5.0
30,50,2,45,18.12,35.816946387290955,1417.3400000000001,4.0
