number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,34.39186751842499,1741.935,4.5
2,50,2,45,35.31,30.903217315673828,1423.79,5.0
3,50,2,45,41.17,30.685230255126953,1423.775,5.5
4,50,2,47,70.7,30.674884557724,1680.315,4.5
5,50,2,45,54.3,29.4709233045578,1487.1750000000002,4.5
6,50,2,46,42.27,30.33154034614563,1478.0900000000001,6.5
7,50,2,45,25.94,30.980624079704285,1452.595,4.0
8,50,2,43,68.52,30.59502351284027,1429.105,3.5
9,50,2,43,66.33,30.751166105270386,1325.0549999999998,5.0
10,50,2,46,25.94,31.19262206554413,1453.945,5.5
11,50,2,45,15.62,31.575042366981506,1437.525,2.5
12,50,2,44,54.3,31.8672536611557,1405.27,2.5
13,50,2,47,39.06,34.96152877807617,1412.645,6.0
14,50,2,41,46.64,33.09648561477661,1277.49,6.0
15,50,2,42,14.38,31.500113248825073,1363.7,3.0
16,50,2,47,27.81,33.126607179641724,1600.165,3.5
17,50,2,42,29.69,32.33907747268677,1373.295,5.0
18,50,2,42,33.44,32.14776802062988,1416.545,3.5
19,50,2,44,39.06,33.51370286941528,1498.7800000000002,3.5
20,50,2,43,16.88,31.905521631240845,1286.19,2.5
21,50,2,45,35.31,33.37369525432587,1292.0,4.0
22,50,2,44,25.94,32.98727858066559,1404.0,3.5
23,50,2,44,58.67,34.108283042907715,1400.9450000000002,6.0
24,50,2,49,33.44,36.00429344177246,1567.0700000000002,3.0
25,50,2,40,65.23,33.20742654800415,1313.3000000000002,4.5
26,50,2,43,66.33,37.52155411243439,1346.685,8.0
27,50,2,46,56.48,44.19810748100281,1614.5549999999998,5.0
28,50,2,45,25.94,52.579635977745056,1437.1799999999998,3.0
29,50,2,45,22.19,53.10296285152435,1371.085,5.0
30,50,2,45,18.12,53.03491485118866,1435.75,8.0
