number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func
1,50,2,48,60.86,0.3083364963531494,3668.41
2,50,2,45,16.88,0.2700258493423462,3108.92
3,50,2,46,47.73,0.33779990673065186,3127.7
4,50,2,47,66.33,0.3220665454864502,3637.6
5,50,2,45,60.86,0.2686229944229126,3289.06
6,50,2,48,43.36,0.22748064994812012,3713.63
7,50,2,43,40.08,0.2201756238937378,3265.15
8,50,2,45,49.92,0.26350343227386475,3364.69
9,50,2,43,29.69,0.19182753562927246,2979.5
10,50,2,43,25.94,0.257362961769104,2869.44
11,50,2,50,40.08,0.21969985961914062,4023.76
12,50,2,44,47.73,0.27287769317626953,3158.54
13,50,2,44,33.44,0.22547268867492676,3148.31
14,50,2,43,83.24,0.26520848274230957,3179.83
15,50,2,42,35.31,0.2304443120956421,2912.19
16,50,2,45,15.62,0.20658504962921143,3026.11
17,50,2,45,27.81,0.22841989994049072,3227.56
18,50,2,50,27.81,0.2565743923187256,3796.31
19,50,2,41,57.58,0.20040452480316162,2645.22
20,50,2,44,56.48,0.22040414810180664,3347.9
21,50,2,45,16.88,0.222295880317688,3267.86
22,50,2,41,48.83,0.23589587211608887,2591.95
23,50,2,42,49.92,0.2208331823348999,3029.91
24,50,2,49,10.62,0.2312220335006714,3122.04
25,50,2,46,18.12,0.285602331161499,2977.59
26,50,2,47,27.81,0.26562774181365967,3821.46
27,50,2,43,29.69,0.21802973747253418,3264.58
28,50,2,41,37.19,0.1985785961151123,2975.71
29,50,2,45,80.9,0.27121520042419434,3576.94
30,50,2,46,31.56,0.2557471990585327,3723.62
