number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0819473266601562,3812.26,48.0
2,50,2,45,35.31,0.0794310569763183,3497.01,46.0
3,50,2,45,41.17,0.070122480392456,3442.89,43.0
4,50,2,47,70.7,0.0658850669860839,3639.79,45.0
5,50,2,45,54.3,0.0786042213439941,3506.35,43.0
6,50,2,46,42.27,0.0703129768371582,3372.43,44.0
7,50,2,45,25.94,0.0617272853851318,3469.58,43.0
8,50,2,43,68.52,0.0594427585601806,3054.06,41.0
9,50,2,43,66.33,0.0601787567138671,3348.88,41.0
10,50,2,46,25.94,0.0656321048736572,2892.47,44.0
11,50,2,45,15.62,0.0764379501342773,3090.59,43.0
12,50,2,44,54.3,0.0664827823638916,3465.15,42.0
13,50,2,47,39.06,0.0612251758575439,3255.52,45.0
14,50,2,41,46.64,0.0565235614776611,3145.23,39.0
15,50,2,42,14.38,0.0661344528198242,3190.7,40.0
16,50,2,47,27.81,0.0621991157531738,3481.59,45.0
17,50,2,42,29.69,0.0569264888763427,3175.65,40.0
18,50,2,42,33.44,0.0601894855499267,3036.25,40.0
19,50,2,44,39.06,0.066335916519165,3151.62,42.0
20,50,2,43,16.88,0.0627171993255615,3080.54,42.0
21,50,2,45,35.31,0.0695486068725586,3425.21,43.0
22,50,2,44,25.94,0.0695009231567382,3275.31,42.0
23,50,2,44,58.67,0.0617942810058593,3538.33,42.0
24,50,2,49,33.44,0.0709822177886962,3322.77,47.0
25,50,2,40,65.23,0.05534029006958,3514.54,39.0
26,50,2,43,66.33,0.0586006641387939,3364.65,41.0
27,50,2,46,56.48,0.0618762969970703,3759.41,44.0
28,50,2,45,25.94,0.0628528594970703,3032.28,43.0
29,50,2,45,22.19,0.0687525272369384,3407.92,43.0
30,50,2,45,18.12,0.0614008903503418,3368.78,43.0
1,100,2,86,78.36,0.4304354190826416,9375.66,84.0
2,100,2,89,44.45,0.48729991912841797,9346.8,87.0
3,100,2,92,72.89,0.4594883918762207,9114.85,90.0
4,100,2,87,33.44,0.46058082580566406,9209.57,85.0
5,100,2,89,46.64,0.4433422088623047,9753.14,87.0
6,100,2,90,51.02,0.4602222442626953,9433.25,88.0
7,100,2,89,47.73,0.48300647735595703,9420.56,87.0
8,100,2,88,37.19,0.512476921081543,9471.36,86.0
9,100,2,92,64.14,0.5109653472900391,8844.54,90.0
10,100,2,86,59.77,0.4570491313934326,8435.65,84.0
11,100,2,86,44.45,0.46003293991088867,8090.95,84.0
12,100,2,87,56.48,0.44852209091186523,9338.83,85.0
13,100,2,88,35.31,0.5613546371459961,8777.52,86.0
14,100,2,89,47.73,0.5336787700653076,9237.53,87.0
15,100,2,94,45.55,0.4586203098297119,10374.29,92.0
16,100,2,92,33.44,0.5461592674255371,9512.49,90.0
17,100,2,90,58.67,0.4643740653991699,9705.76,88.0
18,100,2,91,71.8,0.47954249382019043,9404.36,89.0
19,100,2,87,54.3,0.5438032150268555,9296.93,85.0
20,100,2,91,37.19,0.4566490650177002,9462.44,89.0
21,100,2,93,59.77,0.453502893447876,9853.44,91.0
22,100,2,89,18.12,0.4475862979888916,9044.33,87.0
23,100,2,85,54.3,0.459653377532959,9227.91,83.0
24,100,2,85,35.31,0.44806766510009766,9059.54,83.0
25,100,2,88,70.7,0.46153974533081055,8731.87,86.0
26,100,2,89,64.14,0.45732545852661133,9137.79,87.0
27,100,2,91,25.94,0.47440457344055176,9428.92,89.0
28,100,2,91,37.19,0.48099374771118164,10062.33,89.0
29,100,2,96,52.11,0.6845400333404541,9677.53,94.0
30,100,2,87,35.31,0.4606635570526123,8748.45,85.0
