number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.8491015434265137,1768.84,48.0
2,50,2,45,35.31,0.5287890434265137,1543.27,44.0
3,50,2,45,41.17,0.4093043804168701,1721.77,44.0
4,50,2,47,70.7,0.5617632865905762,1831.39,46.0
5,50,2,45,54.3,0.4490401744842529,1558.5,43.0
6,50,2,46,42.27,0.5081820487976074,1703.32,44.0
7,50,2,45,25.94,0.5193278789520264,1581.28,43.0
8,50,2,43,68.52,0.2986433506011963,1592.7,42.0
9,50,2,43,66.33,0.3562464714050293,1612.53,41.0
10,50,2,46,25.94,0.4335732460021972,1525.19,44.0
11,50,2,45,15.62,0.7131271362304688,1616.34,45.0
12,50,2,44,54.3,0.3951730728149414,1675.2,43.0
13,50,2,47,39.06,0.5387630462646484,1544.24,45.0
14,50,2,41,46.64,0.4256014823913574,1602.56,43.0
15,50,2,42,14.38,0.4433774948120117,1641.26,43.0
16,50,2,47,27.81,0.7003273963928223,1749.02,45.0
17,50,2,42,29.69,0.3889765739440918,1568.2,41.0
18,50,2,42,33.44,0.2715539932250976,1771.26,41.0
19,50,2,44,39.06,0.3096940517425537,1676.86,42.0
20,50,2,43,16.88,0.3529119491577148,1481.21,41.0
21,50,2,45,35.31,0.4497551918029785,1352.32,43.0
22,50,2,44,25.94,0.369683027267456,1588.98,42.0
23,50,2,44,58.67,0.4639892578125,1622.2,42.0
24,50,2,49,33.44,0.5066068172454834,1602.97,47.0
25,50,2,40,65.23,0.2939023971557617,1484.49,40.0
26,50,2,43,66.33,0.3331692218780517,1666.4,41.0
27,50,2,46,56.48,0.5724289417266846,1748.21,45.0
28,50,2,45,25.94,0.5050640106201172,1619.39,45.0
29,50,2,45,22.19,0.5225911140441895,1562.58,43.0
30,50,2,45,18.12,0.4166204929351806,1532.64,43.0
1,100,2,86,78.36,5.855969190597534,4146.05,85.0
2,100,2,89,44.45,7.152616500854492,4134.41,91.0
3,100,2,92,72.89,7.707768201828003,3940.76,91.0
4,100,2,87,33.44,5.717188835144043,3850.5,86.0
5,100,2,89,46.64,6.687758445739746,4147.97,90.0
6,100,2,90,51.02,5.335638999938965,4081.19,90.0
7,100,2,89,47.73,7.807308912277222,4319.73,90.0
8,100,2,88,37.19,5.993372917175293,4043.58,86.0
9,100,2,92,64.14,8.220903158187866,4074.29,91.0
10,100,2,86,59.77,6.083402633666992,3893.04,85.0
11,100,2,86,44.45,8.015812873840332,3901.77,87.0
12,100,2,87,56.48,5.803874492645264,4103.03,86.0
13,100,2,88,35.31,6.521216630935669,4004.62,88.0
14,100,2,89,47.73,8.995854377746582,4099.85,91.0
15,100,2,94,45.55,8.364625215530396,4319.8,93.0
16,100,2,92,33.44,9.552186727523804,4230.81,94.0
17,100,2,90,58.67,6.108133792877197,4529.61,88.0
18,100,2,91,71.8,8.794615745544434,4195.78,93.0
19,100,2,87,54.3,6.279632091522217,4412.47,86.0
20,100,2,91,37.19,7.925449371337891,4417.32,90.0
21,100,2,93,59.77,7.67193603515625,4323.88,91.0
22,100,2,89,18.12,6.450074672698975,3761.91,87.0
23,100,2,85,54.3,5.974376916885376,3902.74,86.0
24,100,2,85,35.31,7.360914707183838,3943.79,87.0
25,100,2,88,70.7,7.600898265838623,3870.42,88.0
26,100,2,89,64.14,7.835078954696655,4098.49,88.0
27,100,2,91,25.94,7.305211544036865,4030.94,89.0
28,100,2,91,37.19,7.8778064250946045,4119.43,92.0
29,100,2,96,52.11,10.414334297180176,4643.58,95.0
30,100,2,87,35.31,6.556214332580566,4065.31,87.0
