number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.1097912788391113,1692.74,4.0
2,50,2,45,35.31,0.355942964553833,1366.82,19.0
3,50,2,45,41.17,0.6627254486083984,1462.89,26.0
4,50,2,47,70.7,0.9890239238739014,1460.02,32.0
5,50,2,45,54.3,0.5367953777313232,1321.59,28.0
6,50,2,46,42.27,0.1423637866973877,1592.26,7.0
7,50,2,45,25.94,0.4113006591796875,1380.58,24.0
8,50,2,43,68.52,0.3375828266143799,1458.89,23.0
9,50,2,43,66.33,0.6219279766082764,1311.14,32.0
10,50,2,46,25.94,0.3175122737884521,1359.03,24.0
11,50,2,45,15.62,0.6706197261810303,1446.28,13.0
12,50,2,44,54.3,0.1783506870269775,1547.22,9.0
13,50,2,47,39.06,0.064408540725708,1529.21,2.0
14,50,2,41,46.64,0.1862175464630127,1494.0,7.0
15,50,2,42,14.38,0.505974531173706,1344.78,29.0
16,50,2,47,27.81,0.8186244964599609,1411.6,33.0
17,50,2,42,29.69,0.3204250335693359,1367.72,21.0
18,50,2,42,33.44,0.0838701725006103,1671.02,4.0
19,50,2,44,39.06,0.0434446334838867,1642.66,3.0
20,50,2,43,16.88,0.4821395874023437,1233.48,24.0
21,50,2,45,35.31,0.2292943000793457,1225.75,21.0
22,50,2,44,25.94,0.4764502048492431,1403.64,13.0
23,50,2,44,58.67,0.0315120220184326,1606.18,2.0
24,50,2,49,33.44,0.2495396137237548,1520.92,6.0
25,50,2,40,65.23,0.2553772926330566,1277.79,24.0
26,50,2,43,66.33,0.0137660503387451,1666.4,1.0
27,50,2,46,56.48,0.3251199722290039,1521.04,12.0
28,50,2,45,25.94,0.263624906539917,1454.07,11.0
29,50,2,45,22.19,0.6804153919219971,1315.27,31.0
30,50,2,45,18.12,0.5175907611846924,1377.46,24.0
1,100,2,86,78.36,4.450052976608276,3500.44,40.0
2,100,2,89,44.45,7.2900917530059814,3517.07,60.0
3,100,2,92,72.89,4.422650575637817,3342.94,40.0
4,100,2,87,33.44,4.197892904281616,3444.35,31.0
5,100,2,89,46.64,0.8609750270843506,3779.84,7.0
6,100,2,90,51.02,12.1592378616333,3450.19,69.0
7,100,2,89,47.73,0.37566137313842773,4319.73,1.0
8,100,2,88,37.19,6.716204881668091,3537.43,61.0
9,100,2,92,64.14,0.5973725318908691,4018.21,3.0
10,100,2,86,59.77,4.676730394363403,3569.12,18.0
11,100,2,86,44.45,3.9654459953308105,3359.35,21.0
12,100,2,87,56.48,7.16651463508606,3484.46,62.0
13,100,2,88,35.31,5.69731879234314,3429.36,27.0
14,100,2,89,47.73,14.07072925567627,3520.59,62.0
15,100,2,94,45.55,9.539729833602905,3762.82,65.0
16,100,2,92,33.44,8.584495067596436,3652.94,66.0
17,100,2,90,58.67,3.375725746154785,3950.5,29.0
18,100,2,91,71.8,12.733044385910034,3547.38,65.0
19,100,2,87,54.3,7.8532490730285645,3593.26,69.0
20,100,2,91,37.19,6.2848265171051025,3927.88,29.0
21,100,2,93,59.77,1.6221106052398682,4081.7,7.0
22,100,2,89,18.12,2.274637222290039,3583.91,20.0
23,100,2,85,54.3,3.4079391956329346,3497.57,24.0
24,100,2,85,35.31,1.236952781677246,3809.72,6.0
25,100,2,88,70.7,14.873744010925293,3247.11,73.0
26,100,2,89,64.14,9.69680643081665,3363.82,73.0
27,100,2,91,25.94,9.192613124847412,3520.78,77.0
28,100,2,91,37.19,4.046626329421997,3734.2,21.0
29,100,2,96,52.11,1.478423833847046,4468.01,8.0
30,100,2,87,35.31,7.527433633804321,3490.04,58.0
