number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,5.209037780761719,1520.53,57.0
2,50,2,45,35.31,0.5197257995605469,1354.76,48.0
3,50,2,45,41.17,0.7227942943572998,1474.93,54.0
4,50,2,47,70.7,1.4133248329162598,1460.02,66.0
5,50,2,45,54.3,0.583491325378418,1338.66,57.0
6,50,2,46,42.27,1.0981266498565674,1372.11,77.0
7,50,2,45,25.94,0.5793333053588867,1384.61,42.0
8,50,2,43,68.52,0.3600111007690429,1458.89,33.0
9,50,2,43,66.33,0.720412015914917,1338.18,70.0
10,50,2,46,25.94,0.41097092628479,1350.98,35.0
11,50,2,45,15.62,2.12308669090271,1374.25,61.0
12,50,2,44,54.3,0.686241626739502,1438.09,39.0
13,50,2,47,39.06,0.6925649642944336,1368.92,48.0
14,50,2,41,46.64,3.4021782875061035,1354.16,53.0
15,50,2,42,14.38,0.648226261138916,1386.86,52.0
16,50,2,47,27.81,1.2144672870635986,1432.63,72.0
17,50,2,42,29.69,0.3055098056793213,1367.72,28.0
18,50,2,42,33.44,1.1679892539978027,1506.12,48.0
19,50,2,44,39.06,0.5565550327301025,1496.7,41.0
20,50,2,43,16.88,0.8658308982849121,1202.37,47.0
21,50,2,45,35.31,0.2016911506652832,1228.78,32.0
22,50,2,44,25.94,0.8248870372772217,1376.71,32.0
23,50,2,44,58.67,0.3619821071624756,1436.91,47.0
24,50,2,49,33.44,2.114230155944824,1341.81,69.0
25,50,2,40,65.23,0.3375670909881592,1277.79,41.0
26,50,2,43,66.33,0.3291900157928467,1537.57,29.0
27,50,2,46,56.48,1.0607805252075195,1484.47,47.0
28,50,2,45,25.94,1.269150972366333,1351.42,48.0
29,50,2,45,22.19,0.6260910034179688,1315.27,54.0
30,50,2,45,18.12,0.6396059989929199,1412.54,38.0
1,100,2,86,78.36,10.096228837966919,3429.36,157.0
2,100,2,89,44.45,8.783926248550415,3514.07,131.0
3,100,2,92,72.89,5.392459154129028,3305.87,112.0
4,100,2,87,33.44,16.975046396255493,3217.25,145.0
5,100,2,89,46.64,12.652995109558105,3518.72,161.0
6,100,2,90,51.02,15.818238973617554,3462.21,137.0
7,100,2,89,47.73,68.15611982345581,3600.41,129.0
8,100,2,88,37.19,8.718093156814575,3545.43,133.0
9,100,2,92,64.14,16.355902194976807,3455.5,132.0
10,100,2,86,59.77,25.377004623413086,3281.51,127.0
11,100,2,86,44.45,16.925347089767456,3178.39,164.0
12,100,2,87,56.48,10.508339405059814,3496.47,132.0
13,100,2,88,35.31,20.726407527923584,3323.57,160.0
14,100,2,89,47.73,23.521199703216553,3527.59,129.0
15,100,2,94,45.55,26.444973468780518,3774.83,129.0
16,100,2,92,33.44,9.13033676147461,3649.94,117.0
17,100,2,90,58.67,10.567935466766357,3772.46,178.0
18,100,2,91,71.8,21.857218980789185,3547.38,149.0
19,100,2,87,54.3,9.666639804840088,3588.19,157.0
20,100,2,91,37.19,34.53044128417969,3685.61,146.0
21,100,2,93,59.77,155.3048324584961,3619.43,163.0
22,100,2,89,18.12,8.280255556106567,3325.89,126.0
23,100,2,85,54.3,37.380711793899536,3380.36,116.0
24,100,2,85,35.31,56.81195950508118,3356.44,130.0
25,100,2,88,70.7,20.22526741027832,3286.15,139.0
26,100,2,89,64.14,16.031811714172363,3362.82,165.0
27,100,2,91,25.94,9.246819496154785,3453.76,157.0
28,100,2,91,37.19,14.93631100654602,3638.13,131.0
29,100,2,96,52.11,15.81547498703003,3778.4,169.0
30,100,2,87,35.31,16.378308534622192,3498.99,127.0
