number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0532174110412597,1768.84,1.0
2,50,2,45,35.31,0.4058616161346435,1370.12,12.0
3,50,2,45,41.17,0.2837085723876953,1559.21,7.0
4,50,2,47,70.7,0.2901582717895508,1730.41,4.0
5,50,2,45,54.3,0.0427765846252441,1558.5,1.0
6,50,2,46,42.27,0.0419304370880126,1703.32,1.0
7,50,2,45,25.94,0.090606689453125,1576.34,2.0
8,50,2,43,68.52,0.3377552032470703,1493.63,8.0
9,50,2,43,66.33,0.3308808803558349,1507.41,8.0
10,50,2,46,25.94,0.0715646743774414,1502.07,2.0
11,50,2,45,15.62,0.7781808376312256,1526.31,11.0
12,50,2,44,54.3,0.0926442146301269,1646.92,2.0
13,50,2,47,39.06,0.1870288848876953,1467.11,4.0
14,50,2,41,46.64,0.1201114654541015,1533.17,3.0
15,50,2,42,14.38,0.1532797813415527,1618.48,3.0
16,50,2,47,27.81,0.2742810249328613,1656.9,6.0
17,50,2,42,29.69,0.0545458793640136,1568.2,1.0
18,50,2,42,33.44,0.4014801979064941,1499.93,11.0
19,50,2,44,39.06,0.0848400592803955,1647.61,2.0
20,50,2,43,16.88,0.3980135917663574,1309.77,8.0
21,50,2,45,35.31,0.0303256511688232,1352.32,1.0
22,50,2,44,25.94,0.4794502258300781,1347.2,13.0
23,50,2,44,58.67,0.1452181339263916,1564.12,4.0
24,50,2,49,33.44,0.2197515964508056,1560.95,4.0
25,50,2,40,65.23,0.2846202850341797,1299.66,11.0
26,50,2,43,66.33,0.032724380493164,1666.4,1.0
27,50,2,46,56.48,0.0490245819091796,1748.21,1.0
28,50,2,45,25.94,0.0472426414489746,1619.39,1.0
29,50,2,45,22.19,0.2590320110321045,1397.35,6.0
30,50,2,45,18.12,0.1191155910491943,1425.43,2.0
1,100,2,86,78.36,0.7733898162841797,4047.97,3.0
2,100,2,89,44.45,0.80428147315979,4017.35,3.0
3,100,2,92,72.89,0.26083827018737793,3940.76,1.0
4,100,2,87,33.44,1.4976470470428467,3680.44,6.0
5,100,2,89,46.64,1.5989363193511963,3668.79,6.0
6,100,2,90,51.02,4.358601093292236,3740.47,12.0
7,100,2,89,47.73,1.0319116115570068,4287.13,3.0
8,100,2,88,37.19,2.9567971229553223,3767.5,12.0
9,100,2,92,64.14,0.8338236808776855,4042.24,3.0
10,100,2,86,59.77,6.133758068084717,3450.1,23.0
11,100,2,86,44.45,0.9979550838470459,3692.62,3.0
12,100,2,87,56.48,1.0171818733215332,3995.94,4.0
13,100,2,88,35.31,6.548348903656006,3462.63,20.0
14,100,2,89,47.73,2.030057430267334,3984.66,4.0
15,100,2,94,45.55,1.0825469493865967,4219.75,3.0
16,100,2,92,33.44,0.35592007637023926,4230.81,1.0
17,100,2,90,58.67,2.6054208278656006,4255.56,10.0
18,100,2,91,71.8,1.4459304809570312,4136.89,2.0
19,100,2,87,54.3,0.3219332695007324,4412.47,1.0
20,100,2,91,37.19,0.5084638595581055,4417.32,1.0
21,100,2,93,59.77,0.7079601287841797,4251.94,2.0
22,100,2,89,18.12,0.48558735847473145,3639.91,2.0
23,100,2,85,54.3,0.9617929458618164,3836.64,3.0
24,100,2,85,35.31,2.0434653759002686,3854.74,5.0
25,100,2,88,70.7,0.5512268543243408,3870.42,1.0
26,100,2,89,64.14,0.7544238567352295,4096.49,2.0
27,100,2,91,25.94,0.5058653354644775,3986.93,2.0
28,100,2,91,37.19,0.7365450859069824,4045.39,2.0
29,100,2,96,52.11,3.0901858806610107,4282.31,9.0
30,100,2,87,35.31,0.7009809017181396,4065.31,1.0
