number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.1098275184631347,1756.05,2.0
2,50,2,45,35.31,0.1508777141571045,1435.82,12.0
3,50,2,45,41.17,0.2274351119995117,1559.21,12.0
4,50,2,47,70.7,0.7326877117156982,1682.93,17.0
5,50,2,45,54.3,0.12823486328125,1487.13,4.0
6,50,2,46,42.27,0.1769466400146484,1532.22,11.0
7,50,2,45,25.94,0.5325953960418701,1550.28,9.0
8,50,2,43,68.52,0.2902145385742187,1523.1,12.0
9,50,2,43,66.33,0.3126871585845947,1439.33,14.0
10,50,2,46,25.94,0.1891655921936035,1449.8,6.0
11,50,2,45,15.62,0.7000582218170166,1503.3,13.0
12,50,2,44,54.3,0.4141955375671386,1609.67,5.0
13,50,2,47,39.06,0.1860494613647461,1471.11,11.0
14,50,2,41,46.64,0.2048301696777343,1510.03,8.0
15,50,2,42,14.38,0.3930625915527344,1423.88,20.0
16,50,2,47,27.81,0.3558740615844726,1645.57,13.0
17,50,2,42,29.69,0.704533576965332,1456.11,17.0
18,50,2,42,33.44,0.5515148639678955,1491.55,28.0
19,50,2,44,39.06,0.4252243041992187,1567.16,9.0
20,50,2,43,16.88,0.6186482906341553,1314.79,18.0
21,50,2,45,35.31,0.0401773452758789,1352.32,1.0
22,50,2,44,25.94,0.5101525783538818,1366.07,23.0
23,50,2,44,58.67,0.1067326068878173,1565.12,5.0
24,50,2,49,33.44,0.1799597740173339,1560.95,6.0
25,50,2,40,65.23,0.1308932304382324,1323.29,11.0
26,50,2,43,66.33,0.4703290462493896,1443.63,18.0
27,50,2,46,56.48,0.3319053649902344,1696.97,6.0
28,50,2,45,25.94,0.309100866317749,1588.47,6.0
29,50,2,45,22.19,0.3072569370269775,1425.37,10.0
30,50,2,45,18.12,0.1139910221099853,1425.43,3.0
1,100,2,86,78.36,4.824565887451172,3725.22,39.0
2,100,2,89,44.45,3.102660655975342,3911.27,18.0
3,100,2,92,72.89,1.225606918334961,3873.18,8.0
4,100,2,87,33.44,7.1740803718566895,3386.57,49.0
5,100,2,89,46.64,3.998277425765991,3569.75,21.0
6,100,2,90,51.02,7.040272951126099,3619.58,41.0
7,100,2,89,47.73,8.90794324874878,3907.29,26.0
8,100,2,88,37.19,2.174288749694824,3748.77,26.0
9,100,2,92,64.14,4.545238494873047,3846.92,25.0
10,100,2,86,59.77,7.248979091644287,3438.38,44.0
11,100,2,86,44.45,14.850477695465088,3389.26,49.0
12,100,2,87,56.48,9.048545360565186,3649.59,65.0
13,100,2,88,35.31,6.710015535354614,3374.52,46.0
14,100,2,89,47.73,11.637624740600586,3734.41,28.0
15,100,2,94,45.55,1.7097203731536865,4210.75,5.0
16,100,2,92,33.44,0.8871400356292725,4230.81,1.0
17,100,2,90,58.67,3.6112775802612305,4023.52,43.0
18,100,2,91,71.8,5.397513389587402,3893.71,22.0
19,100,2,87,54.3,10.939778804779053,3763.36,48.0
20,100,2,91,37.19,22.4551784992218,3967.92,45.0
21,100,2,93,59.77,12.772046327590942,4080.33,14.0
22,100,2,89,18.12,1.7247333526611328,3585.91,15.0
23,100,2,85,54.3,6.437610149383545,3599.24,30.0
24,100,2,85,35.31,10.427289962768555,3473.98,40.0
25,100,2,88,70.7,11.309151887893677,3502.36,33.0
26,100,2,89,64.14,6.694026231765747,3657.5,32.0
27,100,2,91,25.94,1.5766093730926514,3745.08,16.0
28,100,2,91,37.19,8.986968517303467,3747.8,40.0
29,100,2,96,52.11,7.461786985397339,4065.14,40.0
30,100,2,87,35.31,12.927977085113525,3578.14,47.0
