number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.1633062362670898,1768.84,1.0
2,50,2,45,35.31,0.5178399085998535,1522.98,2.0
3,50,2,45,41.17,0.728020429611206,1650.35,4.0
4,50,2,47,70.7,1.5734221935272217,1656.07,6.0
5,50,2,45,54.3,0.1348371505737304,1558.5,1.0
6,50,2,46,42.27,0.0508980751037597,1703.32,1.0
7,50,2,45,25.94,0.5009520053863525,1581.28,1.0
8,50,2,43,68.52,1.5961861610412598,1500.57,4.0
9,50,2,43,66.33,0.0408113002777099,1577.16,2.0
10,50,2,46,25.94,0.5312824249267578,1525.19,1.0
11,50,2,45,15.62,0.1351561546325683,1616.34,1.0
12,50,2,44,54.3,2.91564416885376,1474.51,7.0
13,50,2,47,39.06,0.1217336654663086,1544.24,1.0
14,50,2,41,46.64,0.4243535995483398,1550.31,2.0
15,50,2,42,14.38,0.3405556678771972,1635.36,2.0
16,50,2,47,27.81,0.1876883506774902,1749.02,1.0
17,50,2,42,29.69,0.4982724189758301,1511.88,2.0
18,50,2,42,33.44,0.6330821514129639,1715.76,2.0
19,50,2,44,39.06,0.5069859027862549,1629.52,2.0
20,50,2,43,16.88,0.3596029281616211,1481.21,1.0
21,50,2,45,35.31,0.3735673427581787,1352.32,1.0
22,50,2,44,25.94,2.5754668712615967,1333.96,6.0
23,50,2,44,58.67,0.0441861152648925,1622.2,1.0
24,50,2,49,33.44,0.0635616779327392,1570.72,2.0
25,50,2,40,65.23,3.437610149383545,1273.28,10.0
26,50,2,43,66.33,0.4025571346282959,1666.4,1.0
27,50,2,46,56.48,0.4594213962554931,1705.56,2.0
28,50,2,45,25.94,0.6120467185974121,1598.47,3.0
29,50,2,45,22.19,0.1153044700622558,1562.58,1.0
30,50,2,45,18.12,1.1206316947937012,1485.42,3.0
1,100,2,86,78.36,0.4685635566711426,4146.05,1.0
2,100,2,89,44.45,0.7625434398651123,4134.41,1.0
3,100,2,92,72.89,2.2155511379241943,3904.38,2.0
4,100,2,87,33.44,2.2082149982452393,3796.67,3.0
5,100,2,89,46.64,2.0618538856506348,4070.93,2.0
6,100,2,90,51.02,1.5333354473114014,3843.51,4.0
7,100,2,89,47.73,2.7406249046325684,4319.73,1.0
8,100,2,88,37.19,6.41645884513855,3911.07,9.0
9,100,2,92,64.14,1.8908090591430664,4074.29,1.0
10,100,2,86,59.77,4.239759683609009,3855.9,2.0
11,100,2,86,44.45,27.24112319946289,3401.43,16.0
12,100,2,87,56.48,0.8443329334259033,4103.03,1.0
13,100,2,88,35.31,1.6628544330596924,4004.62,1.0
14,100,2,89,47.73,2.516061305999756,4099.85,1.0
15,100,2,94,45.55,1.1127598285675049,4319.8,1.0
16,100,2,92,33.44,1.8258941173553467,4230.81,1.0
17,100,2,90,58.67,0.26981067657470703,4529.61,1.0
18,100,2,91,71.8,12.362543821334839,3911.46,6.0
19,100,2,87,54.3,1.1800134181976318,4412.47,1.0
20,100,2,91,37.19,15.103202819824219,4080.86,7.0
21,100,2,93,59.77,1.0016334056854248,4323.88,1.0
22,100,2,89,18.12,0.7828238010406494,3761.24,2.0
23,100,2,85,54.3,1.9462950229644775,3902.74,1.0
24,100,2,85,35.31,1.247802734375,3943.79,1.0
25,100,2,88,70.7,2.223886728286743,3748.35,4.0
26,100,2,89,64.14,1.6011292934417725,4098.49,1.0
27,100,2,91,25.94,1.688342571258545,4025.45,2.0
28,100,2,91,37.19,1.4185307025909424,4119.43,1.0
29,100,2,96,52.11,4.353714466094971,4632.11,2.0
30,100,2,87,35.31,7.654300928115845,4026.08,3.0
