number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,1.0033540725708008,1733.97,7.0
2,50,2,45,35.31,4.823814868927002,1427.43,24.0
3,50,2,45,41.17,3.5266716480255127,1542.59,35.0
4,50,2,47,70.7,4.72433614730835,1682.35,13.0
5,50,2,45,54.3,0.4468190670013428,1532.15,6.0
6,50,2,46,42.27,0.0232160091400146,1695.13,2.0
7,50,2,45,25.94,8.85263729095459,1283.97,42.0
8,50,2,43,68.52,15.438936948776243,1377.45,62.0
9,50,2,43,66.33,0.0068387985229492,1602.16,2.0
10,50,2,46,25.94,20.210994243621823,1191.26,81.0
11,50,2,45,15.62,0.2735862731933594,1608.81,3.0
12,50,2,44,54.3,17.852131128311157,1321.06,51.0
13,50,2,47,39.06,1.147672414779663,1539.53,3.0
14,50,2,41,46.64,11.326919078826904,1343.91,54.0
15,50,2,42,14.38,8.195885181427002,1348.57,55.0
16,50,2,47,27.81,1.7747175693511963,1725.9,7.0
17,50,2,42,29.69,4.046517610549927,1359.52,38.0
18,50,2,42,33.44,10.497570037841797,1424.72,59.0
19,50,2,44,39.06,8.95922565460205,1272.23,75.0
20,50,2,43,16.88,29.24173474311829,1037.74,101.0
21,50,2,45,35.31,4.149044752120972,1246.53,22.0
22,50,2,44,25.94,25.20535898208618,1204.05,69.0
23,50,2,44,58.67,0.2002487182617187,1607.34,2.0
24,50,2,49,33.44,0.0139181613922119,1601.72,2.0
25,50,2,40,65.23,14.54042148590088,1134.05,73.0
26,50,2,43,66.33,18.331093072891235,1310.2,77.0
27,50,2,46,56.48,4.594868421554565,1602.24,26.0
28,50,2,45,25.94,1.6278715133666992,1528.97,15.0
29,50,2,45,22.19,2.545776128768921,1517.1,5.0
30,50,2,45,18.12,10.606083631515505,1243.89,69.0
1,100,2,86,78.36,0.9774045944213867,4094.18,5.0
2,100,2,89,44.45,8.068017959594727,4101.23,4.0
3,100,2,92,72.89,70.8623833656311,3352.07,106.0
4,100,2,87,33.44,25.40899896621704,3779.72,9.0
5,100,2,89,46.64,10.99509859085083,3984.32,12.0
6,100,2,90,51.02,76.19973182678223,3841.51,28.0
7,100,2,89,47.73,289.1077570915222,3851.52,88.0
8,100,2,88,37.19,8.132237911224365,3991.59,5.0
9,100,2,92,64.14,224.2438781261444,3658.0,93.0
10,100,2,86,59.77,220.43432593345642,3416.89,85.0
11,100,2,86,44.45,78.98217844963074,3615.22,45.0
12,100,2,87,56.48,144.35918831825256,3573.24,84.0
13,100,2,88,35.31,281.3308219909668,3329.47,113.0
14,100,2,89,47.73,52.79175925254822,3987.86,13.0
15,100,2,94,45.55,63.74766707420349,4236.77,8.0
16,100,2,92,33.44,348.154039144516,3882.72,53.0
17,100,2,90,58.67,0.8009812831878662,4510.34,2.0
18,100,2,91,71.8,422.23850440979004,3618.9,82.0
19,100,2,87,54.3,127.57659769058228,4131.15,28.0
20,100,2,91,37.19,240.26977276802063,3792.59,83.0
21,100,2,93,59.77,69.16103839874268,4161.89,11.0
22,100,2,89,18.12,0.4547915458679199,3699.06,4.0
23,100,2,85,54.3,153.2687530517578,3600.15,59.0
24,100,2,85,35.31,94.87355041503906,3876.25,6.0
25,100,2,88,70.7,31.293297052383423,3553.35,42.0
26,100,2,89,64.14,140.7750482559204,3662.07,61.0
27,100,2,91,25.94,33.09400129318237,3745.97,34.0
28,100,2,91,37.19,21.425843000411987,4083.59,4.0
29,100,2,96,52.11,60.63914966583252,4022.05,71.0
30,100,2,87,35.31,118.66072344779968,3410.66,88.0
