number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func
1,50,2,48,60.86,1.8126349449157715,1671.13
2,50,2,45,16.88,2.335840106010437,1362.43
3,50,2,46,47.73,2.398833394050598,1478.73
4,50,2,47,66.33,2.0480430126190186,1704.37
5,50,2,45,60.86,1.9165589809417725,1446.62
6,50,2,48,43.36,2.4419041872024536,1839.27
7,50,2,43,40.08,1.7979487180709839,1520.68
8,50,2,45,49.92,1.6113475561141968,1573.77
9,50,2,43,29.69,1.729799509048462,1498.44
10,50,2,43,25.94,1.513210654258728,1478.48
11,50,2,50,40.08,2.9792237281799316,1696.42
12,50,2,44,47.73,1.8065708875656128,1481.96
13,50,2,44,33.44,1.873164176940918,1497.61
14,50,2,43,83.24,1.4944863319396973,1513.03
15,50,2,42,35.31,1.4299200773239136,1504.9
16,50,2,45,15.62,2.000394105911255,1686.42
17,50,2,45,27.81,1.5113898515701294,1670.5
18,50,2,50,27.81,2.960760712623596,1719.33
19,50,2,41,57.58,1.7554417848587036,1180.6
20,50,2,44,56.48,1.6116925477981567,1681.44
21,50,2,45,16.88,1.5941044092178345,1480.2
22,50,2,41,48.83,2.4629533290863037,1396.64
23,50,2,42,49.92,1.280967116355896,1314.68
24,50,2,49,10.62,4.156785488128662,1501.07
25,50,2,46,18.12,2.5226809978485107,1400.78
26,50,2,47,27.81,2.6556233167648315,1997.83
27,50,2,43,29.69,1.896631121635437,1508.77
28,50,2,41,37.19,2.3696402311325073,1342.7
29,50,2,45,80.9,1.5942332744598389,1530.38
30,50,2,46,31.56,2.134485363960266,1489.14
