number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0459883213043212,1768.84,1.0
2,50,2,45,35.31,0.0282034873962402,1543.27,1.0
3,50,2,45,41.17,0.1427524089813232,1665.33,3.0
4,50,2,47,70.7,0.2928249835968017,1818.32,2.0
5,50,2,45,54.3,0.0353353023529052,1558.5,1.0
6,50,2,46,42.27,0.0232274532318115,1703.32,1.0
7,50,2,45,25.94,0.0335843563079834,1581.28,1.0
8,50,2,43,68.52,0.0497643947601318,1592.7,1.0
9,50,2,43,66.33,0.0314958095550537,1612.53,1.0
10,50,2,46,25.94,0.0481367111206054,1525.19,1.0
11,50,2,45,15.62,0.1054327487945556,1616.34,1.0
12,50,2,44,54.3,0.0536637306213378,1675.2,1.0
13,50,2,47,39.06,0.0332574844360351,1544.24,1.0
14,50,2,41,46.64,0.038764476776123,1602.56,1.0
15,50,2,42,14.38,0.1024878025054931,1596.21,3.0
16,50,2,47,27.81,0.1406183242797851,1732.0,3.0
17,50,2,42,29.69,0.0606992244720459,1568.2,1.0
18,50,2,42,33.44,0.0492129325866699,1771.26,1.0
19,50,2,44,39.06,0.0370147228240966,1676.86,1.0
20,50,2,43,16.88,0.0719170570373535,1481.21,1.0
21,50,2,45,35.31,0.0145118236541748,1352.32,1.0
22,50,2,44,25.94,0.1822090148925781,1567.88,2.0
23,50,2,44,58.67,0.0184330940246582,1622.2,1.0
24,50,2,49,33.44,0.0840046405792236,1602.97,1.0
25,50,2,40,65.23,0.1061501502990722,1434.38,4.0
26,50,2,43,66.33,0.0356066226959228,1649.52,2.0
27,50,2,46,56.48,0.0575335025787353,1727.11,2.0
28,50,2,45,25.94,0.0330569744110107,1619.39,1.0
29,50,2,45,22.19,0.0387430191040039,1562.58,1.0
30,50,2,45,18.12,0.2135303020477295,1512.6,2.0
1,100,2,86,78.36,0.2589454650878906,4145.05,2.0
2,100,2,89,44.45,0.4325411319732666,4132.41,2.0
3,100,2,92,72.89,0.1433861255645752,3940.76,1.0
4,100,2,87,33.44,0.18047475814819336,3850.5,1.0
5,100,2,89,46.64,0.22895288467407227,4147.97,1.0
6,100,2,90,51.02,1.4890973567962646,4053.17,3.0
7,100,2,89,47.73,0.33729982376098633,4319.73,1.0
8,100,2,88,37.19,0.2572171688079834,4043.58,1.0
9,100,2,92,64.14,0.32495713233947754,4074.29,1.0
10,100,2,86,59.77,0.3591787815093994,3893.04,1.0
11,100,2,86,44.45,0.4998140335083008,3901.77,1.0
12,100,2,87,56.48,0.19530916213989258,4103.03,1.0
13,100,2,88,35.31,2.9256036281585693,3989.6,3.0
14,100,2,89,47.73,1.8903906345367432,4097.85,2.0
15,100,2,94,45.55,0.4154837131500244,4319.8,1.0
16,100,2,92,33.44,0.2498183250427246,4230.81,1.0
17,100,2,90,58.67,0.14353513717651367,4529.61,1.0
18,100,2,91,71.8,0.999622106552124,4195.78,1.0
19,100,2,87,54.3,0.22986745834350586,4412.47,1.0
20,100,2,91,37.19,0.5526444911956787,4417.32,1.0
21,100,2,93,59.77,0.4880812168121338,4323.88,1.0
22,100,2,89,18.12,0.13553214073181152,3761.91,1.0
23,100,2,85,54.3,0.5852236747741699,3902.74,1.0
24,100,2,85,35.31,0.34171032905578613,3943.79,1.0
25,100,2,88,70.7,0.9564461708068848,3870.42,1.0
26,100,2,89,64.14,0.24562764167785645,4098.49,1.0
27,100,2,91,25.94,0.32874202728271484,3987.93,2.0
28,100,2,91,37.19,0.8152210712432861,4119.43,1.0
29,100,2,96,52.11,0.3524892330169678,4643.58,1.0
30,100,2,87,35.31,0.5149037837982178,4065.31,1.0
