number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,1.42596173286438,1708.76,8.0
2,50,2,45,35.31,0.5039424896240234,1501.45,9.0
3,50,2,45,41.17,3.5464320182800293,1613.18,16.0
4,50,2,47,70.7,4.890815496444702,1710.69,8.0
5,50,2,45,54.3,0.5261218547821045,1554.49,2.0
6,50,2,46,42.27,0.6801249980926514,1621.27,10.0
7,50,2,45,25.94,1.8485138416290283,1540.3,11.0
8,50,2,43,68.52,1.6228885650634766,1553.13,8.0
9,50,2,43,66.33,1.3841519355773926,1531.44,16.0
10,50,2,46,25.94,0.93062424659729,1522.17,3.0
11,50,2,45,15.62,3.6093013286590576,1591.33,6.0
12,50,2,44,54.3,1.217625856399536,1665.1,4.0
13,50,2,47,39.06,0.5868220329284668,1534.22,3.0
14,50,2,41,46.64,1.2534325122833252,1575.41,6.0
15,50,2,42,14.38,1.5541129112243652,1583.19,10.0
16,50,2,47,27.81,1.6761982440948486,1674.93,12.0
17,50,2,42,29.69,1.9265258312225344,1462.17,14.0
18,50,2,42,33.44,1.0526838302612305,1743.12,3.0
19,50,2,44,39.06,1.7317876815795898,1651.72,9.0
20,50,2,43,16.88,1.1617443561553955,1460.16,6.0
21,50,2,45,35.31,0.5995385646820068,1325.8,7.0
22,50,2,44,25.94,1.4728176593780518,1530.71,11.0
23,50,2,44,58.67,0.1684303283691406,1597.17,3.0
24,50,2,49,33.44,6.617707014083862,1545.94,13.0
25,50,2,40,65.23,0.4630439281463623,1433.37,11.0
26,50,2,43,66.33,0.3932609558105469,1640.47,5.0
27,50,2,46,56.48,2.0781145095825195,1700.99,11.0
28,50,2,45,25.94,0.8265862464904785,1606.37,5.0
29,50,2,45,22.19,2.4868240356445312,1462.46,15.0
30,50,2,45,18.12,2.650976181030273,1483.55,13.0
1,100,2,86,78.36,14.643025875091553,4032.96,18.0
2,100,2,89,44.45,31.06952428817749,3965.32,24.0
3,100,2,92,72.89,12.438754558563232,3848.64,12.0
4,100,2,87,33.44,16.691012620925903,3755.47,15.0
5,100,2,89,46.64,38.77706241607666,3828.86,22.0
6,100,2,90,51.02,73.86121463775635,4027.14,10.0
7,100,2,89,47.73,75.26747751235962,4137.58,34.0
8,100,2,88,37.19,17.744625568389893,3932.55,17.0
9,100,2,92,64.14,30.5737202167511,3930.06,17.0
10,100,2,86,59.77,21.275298595428467,3812.86,14.0
11,100,2,86,44.45,65.45648241043091,3844.73,11.0
12,100,2,87,56.48,20.47612428665161,4084.01,8.0
13,100,2,88,35.31,156.01494359970093,3853.41,33.0
14,100,2,89,47.73,233.46544861793518,3984.76,15.0
15,100,2,94,45.55,86.1391932964325,4114.7,28.0
16,100,2,92,33.44,43.57116508483887,4069.69,17.0
17,100,2,90,58.67,20.49136972427368,4418.59,18.0
18,100,2,91,71.8,157.80674934387207,4105.56,24.0
19,100,2,87,54.3,18.19523525238037,4393.44,7.0
20,100,2,91,37.19,216.73405647277832,4304.25,21.0
21,100,2,93,59.77,69.44207549095154,4278.85,12.0
22,100,2,89,18.12,17.48161745071411,3695.91,15.0
23,100,2,85,54.3,44.025078535079956,3858.9,8.0
24,100,2,85,35.31,55.77749729156494,3839.73,12.0
25,100,2,88,70.7,296.7066125869751,3625.21,28.0
26,100,2,89,64.14,47.73538613319397,4020.54,13.0
27,100,2,91,25.94,6.080665588378906,4018.93,5.0
28,100,2,91,37.19,81.05598521232605,4030.38,17.0
29,100,2,96,52.11,146.25916624069214,4275.15,40.0
30,100,2,87,35.31,74.03952527046204,3985.19,15.0
