number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0076668262481689,1768.84,1.0
2,50,2,45,35.31,0.0091774463653564,1518.17,3.0
3,50,2,45,41.17,0.0138022899627685,1716.22,2.0
4,50,2,47,70.7,0.0748107433319091,1798.8,6.0
5,50,2,45,54.3,0.0116639137268066,1551.5,3.0
6,50,2,46,42.27,0.0031614303588867,1686.13,2.0
7,50,2,45,25.94,0.006526231765747,1581.28,1.0
8,50,2,43,68.52,0.0312199592590332,1582.68,2.0
9,50,2,43,66.33,0.0066268444061279,1602.16,2.0
10,50,2,46,25.94,0.0249035358428955,1511.26,3.0
11,50,2,45,15.62,0.0106058120727539,1616.34,1.0
12,50,2,44,54.3,0.0333068370819091,1646.61,4.0
13,50,2,47,39.06,0.0069725513458251,1534.73,2.0
14,50,2,41,46.64,0.0114777088165283,1602.56,1.0
15,50,2,42,14.38,0.0117976665496826,1634.79,2.0
16,50,2,47,27.81,0.0040516853332519,1749.02,1.0
17,50,2,42,29.69,0.0157232284545898,1555.71,2.0
18,50,2,42,33.44,0.0109915733337402,1771.26,1.0
19,50,2,44,39.06,0.0033438205718994,1676.86,1.0
20,50,2,43,16.88,0.019965648651123,1481.21,1.0
21,50,2,45,35.31,0.0025441646575927,1352.32,1.0
22,50,2,44,25.94,0.019665241241455,1559.65,2.0
23,50,2,44,58.67,0.0010395050048828,1622.2,1.0
24,50,2,49,33.44,0.0133688449859619,1594.72,2.0
25,50,2,40,65.23,0.0057663917541503,1484.49,1.0
26,50,2,43,66.33,0.014230728149414,1645.0,4.0
27,50,2,46,56.48,0.0166308879852294,1740.28,2.0
28,50,2,45,25.94,0.0036559104919433,1619.39,1.0
29,50,2,45,22.19,0.0086779594421386,1562.38,2.0
30,50,2,45,18.12,0.04341721534729,1514.67,4.0
1,100,2,86,78.36,0.014128446578979492,4146.05,1.0
2,100,2,89,44.45,0.013823270797729492,4134.41,1.0
3,100,2,92,72.89,0.0218050479888916,3940.76,1.0
4,100,2,87,33.44,0.05885648727416992,3804.13,4.0
5,100,2,89,46.64,0.03706860542297363,4147.97,1.0
6,100,2,90,51.02,0.164595365524292,4008.68,3.0
7,100,2,89,47.73,0.031138181686401367,4319.73,1.0
8,100,2,88,37.19,0.018982410430908203,4043.58,1.0
9,100,2,92,64.14,0.06185007095336914,4074.29,1.0
10,100,2,86,59.77,0.17903995513916016,3878.39,3.0
11,100,2,86,44.45,0.07435417175292969,3901.77,1.0
12,100,2,87,56.48,0.026777029037475586,4103.03,1.0
13,100,2,88,35.31,0.17421483993530273,4004.62,1.0
14,100,2,89,47.73,0.25852036476135254,4099.85,1.0
15,100,2,94,45.55,0.047806501388549805,4319.8,1.0
16,100,2,92,33.44,0.03466916084289551,4230.81,1.0
17,100,2,90,58.67,0.014156341552734375,4520.34,2.0
18,100,2,91,71.8,0.25676465034484863,4195.78,1.0
19,100,2,87,54.3,0.04287576675415039,4412.47,1.0
20,100,2,91,37.19,0.34058165550231934,4369.92,5.0
21,100,2,93,59.77,0.08223176002502441,4278.59,2.0
22,100,2,89,18.12,0.012087106704711914,3752.06,2.0
23,100,2,85,54.3,0.04030799865722656,3902.74,1.0
24,100,2,85,35.31,0.03537702560424805,3943.79,1.0
25,100,2,88,70.7,0.22288799285888672,3870.42,1.0
26,100,2,89,64.14,0.29570770263671875,4065.94,4.0
27,100,2,91,25.94,0.01195979118347168,4030.94,1.0
28,100,2,91,37.19,0.07763981819152832,4119.43,1.0
29,100,2,96,52.11,0.07928013801574707,4643.58,1.0
30,100,2,87,35.31,0.2235116958618164,4064.09,2.0
