number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0073602199554443,1768.84,1.0
2,50,2,45,35.31,0.00938081741333,1518.17,3.0
3,50,2,45,41.17,0.0137042999267578,1716.22,2.0
4,50,2,47,70.7,0.0716354846954345,1804.69,6.0
5,50,2,45,54.3,0.0104577541351318,1551.5,3.0
6,50,2,46,42.27,0.0036189556121826,1686.13,2.0
7,50,2,45,25.94,0.0073590278625488,1581.28,1.0
8,50,2,43,68.52,0.0224373340606689,1582.68,2.0
9,50,2,43,66.33,0.0074446201324462,1602.16,2.0
10,50,2,46,25.94,0.0173637866973876,1511.26,3.0
11,50,2,45,15.62,0.0109860897064208,1616.34,1.0
12,50,2,44,54.3,0.0300619602203369,1646.61,4.0
13,50,2,47,39.06,0.0069208145141601,1534.73,2.0
14,50,2,41,46.64,0.0110833644866943,1602.56,1.0
15,50,2,42,14.38,0.0125486850738525,1634.79,2.0
16,50,2,47,27.81,0.0043177604675292,1749.02,1.0
17,50,2,42,29.69,0.0156700611114501,1555.71,2.0
18,50,2,42,33.44,0.0162184238433837,1771.26,1.0
19,50,2,44,39.06,0.0038783550262451,1676.86,1.0
20,50,2,43,16.88,0.0433456897735595,1469.36,3.0
21,50,2,45,35.31,0.002260684967041,1352.32,1.0
22,50,2,44,25.94,0.0204064846038818,1559.65,2.0
23,50,2,44,58.67,0.0012648105621337,1622.2,1.0
24,50,2,49,33.44,0.0137038230895996,1594.72,2.0
25,50,2,40,65.23,0.004958152770996,1484.49,1.0
26,50,2,43,66.33,0.012871503829956,1646.04,4.0
27,50,2,46,56.48,0.0145139694213867,1740.28,2.0
28,50,2,45,25.94,0.0035269260406494,1619.39,1.0
29,50,2,45,22.19,0.0093922615051269,1562.38,2.0
30,50,2,45,18.12,0.0440938472747802,1514.67,4.0
1,100,2,86,78.36,0.014545440673828125,4146.05,1.0
2,100,2,89,44.45,0.014125585556030273,4134.41,1.0
3,100,2,92,72.89,0.038102149963378906,3930.28,2.0
4,100,2,87,33.44,0.05702328681945801,3819.61,3.0
5,100,2,89,46.64,0.05117630958557129,4147.97,1.0
6,100,2,90,51.02,0.10996842384338379,4071.32,2.0
7,100,2,89,47.73,0.032883405685424805,4319.73,1.0
8,100,2,88,37.19,0.021775007247924805,4043.58,1.0
9,100,2,92,64.14,0.13745665550231934,4071.4,2.0
10,100,2,86,59.77,0.14145636558532715,3878.39,3.0
11,100,2,86,44.45,0.08092188835144043,3901.77,1.0
12,100,2,87,56.48,0.05768704414367676,4103.03,1.0
13,100,2,88,35.31,0.19486188888549805,4004.62,1.0
14,100,2,89,47.73,0.4168541431427002,4099.85,1.0
15,100,2,94,45.55,0.10794615745544434,4319.8,1.0
16,100,2,92,33.44,0.045494794845581055,4230.81,1.0
17,100,2,90,58.67,0.014413833618164062,4520.34,2.0
18,100,2,91,71.8,0.7536511421203613,4195.78,1.0
19,100,2,87,54.3,0.061927080154418945,4412.47,1.0
20,100,2,91,37.19,0.2076122760772705,4401.19,3.0
21,100,2,93,59.77,0.12899565696716309,4278.59,2.0
22,100,2,89,18.12,0.010120868682861328,3752.06,2.0
23,100,2,85,54.3,0.041280269622802734,3902.74,1.0
24,100,2,85,35.31,0.03621315956115723,3943.79,1.0
25,100,2,88,70.7,0.22631072998046875,3870.42,1.0
26,100,2,89,64.14,0.13381052017211914,4082.23,4.0
27,100,2,91,25.94,0.012613534927368164,4030.94,1.0
28,100,2,91,37.19,0.08649039268493652,4119.43,1.0
29,100,2,96,52.11,0.27776098251342773,4548.24,7.0
30,100,2,87,35.31,0.08850669860839844,4064.09,2.0
