number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,55.27169895172119,2713.78,50.0
2,50,2,45,35.31,32.57081127166748,2279.53,45.0
3,50,2,45,41.17,43.21442627906799,2410.1,45.0
4,50,2,47,70.7,47.70008587837219,2661.11,47.0
5,50,2,45,54.3,61.61250686645508,3088.97,45.0
6,50,2,46,42.27,31.18691658973694,2400.07,46.0
7,50,2,45,25.94,39.73589158058167,2761.95,45.0
8,50,2,43,68.52,22.503823041915894,2291.36,43.0
9,50,2,43,66.33,29.4375913143158,2558.47,43.0
10,50,2,46,25.94,36.94051718711853,2220.01,46.0
11,50,2,45,15.62,36.56836223602295,2345.17,45.0
12,50,2,44,54.3,34.80060625076294,2620.17,44.0
13,50,2,47,39.06,39.81849932670593,2285.87,47.0
14,50,2,41,46.64,24.5512957572937,2143.38,41.0
15,50,2,42,14.38,49.89617705345154,2563.01,42.0
16,50,2,47,27.81,31.488051176071167,2687.94,47.0
17,50,2,42,29.69,33.179567098617554,2279.03,42.0
18,50,2,42,33.44,26.643349647521973,2308.4,42.0
19,50,2,44,39.06,45.03944373130798,2699.95,44.0
20,50,2,43,16.88,38.27464461326599,2427.29,43.0
21,50,2,45,35.31,55.632421255111694,2525.76,45.0
22,50,2,44,25.94,27.00959801673889,2150.28,44.0
23,50,2,44,58.67,46.82024526596069,2602.97,44.0
24,50,2,49,33.44,36.2992901802063,2340.58,49.0
25,50,2,40,65.23,27.25318050384521,2506.08,40.0
26,50,2,43,66.33,27.60024738311768,2231.14,43.0
27,50,2,46,56.48,50.16451621055603,2990.5,46.0
28,50,2,45,25.94,35.33140587806702,2494.13,45.0
29,50,2,45,22.19,30.318871021270752,2183.85,45.0
30,50,2,45,18.12,36.10556650161743,2280.22,45.0
1,100,2,86,78.36,794.0276527404785,5874.73,86.0
2,100,2,89,44.45,665.0585765838623,6469.48,89.0
3,100,2,92,72.89,769.1086401939392,6289.39,92.0
4,100,2,87,33.44,1211.628632068634,7827.79,87.0
5,100,2,89,46.64,661.4887065887451,6138.1,89.0
6,100,2,90,51.02,973.0053544044495,6757.78,90.0
7,100,2,89,47.73,739.3792886734009,6757.14,89.0
8,100,2,88,37.19,732.6816756725311,6235.35,88.0
9,100,2,92,64.14,1684.2217152118683,7421.65,92.0
10,100,2,86,59.77,982.895115852356,6793.22,86.0
11,100,2,86,44.45,932.6022894382477,5977.6,86.0
12,100,2,87,56.48,602.2936532497406,6329.63,87.0
13,100,2,88,35.31,728.2212021350861,6191.48,88.0
14,100,2,89,47.73,1264.2849416732788,6817.03,89.0
15,100,2,94,45.55,1102.9985864162445,6920.86,94.0
16,100,2,92,33.44,1219.1717212200165,7035.05,92.0
17,100,2,90,58.67,1556.7810273170471,7703.8,90.0
18,100,2,91,71.8,925.2635264396667,6337.32,91.0
19,100,2,87,54.3,738.296224117279,6609.78,87.0
20,100,2,91,37.19,1252.7029557228088,7214.01,91.0
21,100,2,93,59.77,798.1035404205322,6499.27,93.0
22,100,2,89,18.12,758.9281914234161,5893.69,89.0
23,100,2,85,54.3,622.5577256679535,6268.35,85.0
24,100,2,85,35.31,981.7043271064758,6184.26,85.0
25,100,2,88,70.7,747.1593949794769,5879.0,88.0
26,100,2,89,64.14,721.9959011077881,6215.4,89.0
27,100,2,91,25.94,792.4599585533142,6368.61,91.0
28,100,2,91,37.19,1337.4209764003754,7965.46,91.0
29,100,2,96,52.11,2002.0203747749329,8050.48,96.0
30,100,2,87,35.31,1133.744574546814,6985.05,87.0
