number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func
1,50,2,48,60.86,0.30082201957702637,3717.425
2,50,2,45,16.88,0.2692103385925293,3444.28
3,50,2,46,47.73,0.2480151653289795,3503.265
4,50,2,47,66.33,0.2725173234939575,3823.5299999999997
5,50,2,45,60.86,0.311667799949646,3275.765
6,50,2,48,43.36,0.2830744981765747,3691.325
7,50,2,43,40.08,0.25826144218444824,3309.045
8,50,2,45,49.92,0.27496886253356934,3667.29
9,50,2,43,29.69,0.2722048759460449,3217.41
10,50,2,43,25.94,0.2405613660812378,3283.575
11,50,2,50,40.08,0.3427339792251587,4167.915
12,50,2,44,47.73,0.2584969997406006,3271.375
13,50,2,44,33.44,0.27982354164123535,3392.34
14,50,2,43,83.24,0.2667638063430786,3346.9049999999997
15,50,2,42,35.31,0.27698445320129395,3024.9449999999997
16,50,2,45,15.62,0.3065211772918701,3342.52
17,50,2,45,27.81,0.2832002639770508,3505.6
18,50,2,50,27.81,0.36476433277130127,4099.3099999999995
19,50,2,41,57.58,0.26508665084838867,2985.825
20,50,2,44,56.48,0.2731832265853882,3606.14
21,50,2,45,16.88,0.2730294466018677,3715.2650000000003
22,50,2,41,48.83,0.2439354658126831,2980.785
23,50,2,42,49.92,0.23468708992004395,3155.415
24,50,2,49,10.62,0.3169691562652588,3181.71
25,50,2,46,18.12,0.3180093765258789,3314.44
26,50,2,47,27.81,0.29545319080352783,4078.99
27,50,2,43,29.69,0.2567034959793091,3400.09
28,50,2,41,37.19,0.2341747283935547,3106.075
29,50,2,45,80.9,0.2998095750808716,3621.9300000000003
30,50,2,46,31.56,0.2741187810897827,3725.81
