number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.0798168182373046,3974.73,48.0
2,50,2,45,35.31,0.0819289684295654,3248.23,43.0
3,50,2,45,41.17,0.0633747577667236,3314.21,43.0
4,50,2,47,70.7,0.0668072700500488,3751.55,45.0
5,50,2,45,54.3,0.0719876289367675,3455.17,43.0
6,50,2,46,42.27,0.0627241134643554,3355.08,44.0
7,50,2,45,25.94,0.0605638027191162,3384.57,43.0
8,50,2,43,68.52,0.0591685771942138,3314.16,41.0
9,50,2,43,66.33,0.0639300346374511,3369.99,41.0
10,50,2,46,25.94,0.0651154518127441,3377.54,44.0
11,50,2,45,15.62,0.060615062713623,3308.73,43.0
12,50,2,44,54.3,0.0628468990325927,3569.39,42.0
13,50,2,47,39.06,0.0656559467315673,3477.0,45.0
14,50,2,41,46.64,0.0605838298797607,3270.69,39.0
15,50,2,42,14.38,0.0598437786102294,3030.07,40.0
16,50,2,47,27.81,0.0648243427276611,3505.48,45.0
17,50,2,42,29.69,0.0576350688934326,2796.44,40.0
18,50,2,42,33.44,0.0675802230834961,3073.31,40.0
19,50,2,44,39.06,0.0590510368347168,3472.66,42.0
20,50,2,43,16.88,0.0654845237731933,3061.12,41.0
21,50,2,45,35.31,0.0668683052062988,3565.23,43.0
22,50,2,44,25.94,0.0619473457336425,3202.45,42.0
23,50,2,44,58.67,0.0594322681427001,3544.39,42.0
24,50,2,49,33.44,0.0675008296966552,3207.74,47.0
25,50,2,40,65.23,0.059220552444458,3645.77,38.0
26,50,2,43,66.33,0.0600323677062988,3533.13,41.0
27,50,2,46,56.48,0.0678622722625732,3805.42,44.0
28,50,2,45,25.94,0.0622992515563964,3432.44,43.0
29,50,2,45,22.19,0.0595767498016357,3193.91,43.0
30,50,2,45,18.12,0.0596623420715332,3399.78,43.0
1,100,2,86,78.36,0.44954752922058105,9690.67,84.0
2,100,2,89,44.45,0.4538381099700928,10054.86,87.0
3,100,2,92,72.89,0.4627842903137207,9337.79,90.0
4,100,2,87,33.44,0.437833309173584,9375.51,85.0
5,100,2,89,46.64,0.4473578929901123,9694.99,87.0
6,100,2,90,51.02,0.4421510696411133,9572.26,88.0
7,100,2,89,47.73,0.4668610095977783,9691.57,87.0
8,100,2,88,37.19,0.48554086685180664,9057.35,86.0
9,100,2,92,64.14,0.4588282108306885,9253.35,90.0
10,100,2,86,59.77,0.45307374000549316,8743.66,84.0
11,100,2,86,44.45,0.43073344230651855,8184.96,84.0
12,100,2,87,56.48,0.4332747459411621,9457.86,85.0
13,100,2,88,35.31,0.44980955123901367,9060.52,86.0
14,100,2,89,47.73,0.44374728202819824,9485.53,87.0
15,100,2,94,45.55,0.4622538089752197,10567.41,92.0
16,100,2,92,33.44,0.4632396697998047,9817.5,90.0
17,100,2,90,58.67,0.4816582202911377,9703.0,88.0
18,100,2,91,71.8,0.4794778823852539,9360.36,89.0
19,100,2,87,54.3,0.43642616271972656,9583.94,85.0
20,100,2,91,37.19,0.45529913902282715,9793.44,89.0
21,100,2,93,59.77,0.5060977935791016,9842.44,91.0
22,100,2,89,18.12,0.439237117767334,9030.0,87.0
23,100,2,85,54.3,0.4402801990509033,9638.87,83.0
24,100,2,85,35.31,0.43813467025756836,9512.55,83.0
25,100,2,88,70.7,0.45815134048461914,9066.89,86.0
26,100,2,89,64.14,0.45674705505371094,9142.79,87.0
27,100,2,91,25.94,0.4609072208404541,9426.92,89.0
28,100,2,91,37.19,0.46033263206481934,9959.33,89.0
29,100,2,96,52.11,0.524500846862793,10149.81,94.0
30,100,2,87,35.31,0.4328775405883789,9192.46,85.0
