number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,50,25.94,0.8631927967071533,1971.71,48.0
2,50,2,45,35.31,0.5939431190490723,1598.98,43.0
3,50,2,45,41.17,0.5272483825683594,1690.53,43.0
4,50,2,47,70.7,0.5813612937927246,1902.83,45.0
5,50,2,45,54.3,0.4979481697082519,1633.87,43.0
6,50,2,46,42.27,0.636845588684082,1640.9,44.0
7,50,2,45,25.94,0.6219449043273926,1517.31,43.0
8,50,2,43,68.52,0.3899309635162353,1588.09,41.0
9,50,2,43,66.33,0.4382731914520263,1698.29,41.0
10,50,2,46,25.94,0.7023553848266602,1497.67,44.0
11,50,2,45,15.62,0.6497349739074707,1465.63,43.0
12,50,2,44,54.3,0.6232750415802002,1598.01,43.0
13,50,2,47,39.06,0.5628888607025146,1518.88,45.0
14,50,2,41,46.64,0.460221529006958,1479.55,41.0
15,50,2,42,14.38,0.404893159866333,1595.93,41.0
16,50,2,47,27.81,0.6855244636535645,1751.03,45.0
17,50,2,42,29.69,0.555042028427124,1825.79,42.0
18,50,2,42,33.44,0.4254608154296875,1658.95,40.0
19,50,2,44,39.06,0.4801125526428222,1535.46,43.0
20,50,2,43,16.88,0.4435887336730957,1496.76,43.0
21,50,2,45,35.31,0.4921972751617431,1490.55,43.0
22,50,2,44,25.94,0.4433579444885254,1620.53,42.0
23,50,2,44,58.67,0.4638323783874511,1664.72,42.0
24,50,2,49,33.44,0.5684893131256104,1751.03,47.0
25,50,2,40,65.23,0.2849338054656982,1533.8,39.0
26,50,2,43,66.33,0.3489363193511963,1568.67,42.0
27,50,2,46,56.48,0.5899498462677002,1802.47,44.0
28,50,2,45,25.94,0.4346203804016113,1669.48,43.0
29,50,2,45,22.19,0.5735583305358887,1648.58,43.0
30,50,2,45,18.12,0.4723351001739502,1618.62,43.0
1,100,2,86,78.36,6.171602487564087,3880.35,84.0
2,100,2,89,44.45,8.062894821166992,4021.06,87.0
3,100,2,92,72.89,8.55513048171997,4044.25,90.0
4,100,2,87,33.44,7.811058759689331,3781.23,88.0
5,100,2,89,46.64,7.276128530502319,4247.77,87.0
6,100,2,90,51.02,5.649298667907715,4018.09,88.0
7,100,2,89,47.73,7.932552337646484,4202.26,87.0
8,100,2,88,37.19,6.843786954879761,4024.07,86.0
9,100,2,92,64.14,8.517669916152954,4063.99,90.0
10,100,2,86,59.77,6.203943967819214,3861.27,85.0
11,100,2,86,44.45,7.474286079406738,3742.41,84.0
12,100,2,87,56.48,7.091829061508179,4041.9,85.0
13,100,2,88,35.31,7.595877408981323,3896.24,86.0
14,100,2,89,47.73,6.919848442077637,3801.03,87.0
15,100,2,94,45.55,9.11048436164856,4319.6,92.0
16,100,2,92,33.44,9.859387874603271,4363.6,91.0
17,100,2,90,58.67,7.505044937133789,4383.45,89.0
18,100,2,91,71.8,8.914077758789062,4240.32,89.0
19,100,2,87,54.3,7.342780113220215,4014.19,86.0
20,100,2,91,37.19,8.798254013061523,4463.65,89.0
21,100,2,93,59.77,8.443830013275146,4240.76,91.0
22,100,2,89,18.12,7.261504888534546,3669.43,88.0
23,100,2,85,54.3,6.188426494598389,4219.42,83.0
24,100,2,85,35.31,5.881119012832642,3916.39,83.0
25,100,2,88,70.7,6.569525957107544,3761.98,86.0
26,100,2,89,64.14,8.084301948547363,4110.23,88.0
27,100,2,91,25.94,8.272832155227661,3840.85,89.0
28,100,2,91,37.19,8.54985237121582,4392.48,90.0
29,100,2,96,52.11,10.666813611984253,4449.48,94.0
30,100,2,87,35.31,7.3698036670684814,4012.45,85.0
