number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,48,60.86,113.83552408218384,1240.49,10000.0
2,50,2,45,16.88,375.53782415390015,1139.48,10000.0
3,50,2,46,47.73,429.7392041683197,1229.31,10000.0
4,50,2,47,66.33,300.52147603034973,1283.98,10000.0
5,50,2,45,60.86,230.2443118095398,1166.94,10000.0
6,50,2,48,43.36,75.01418972015381,1478.73,3672.0
7,50,2,43,40.08,206.39810466766357,1032.9,10000.0
8,50,2,45,49.92,42.537118673324585,1278.49,10000.0
9,50,2,43,29.69,155.03585147857666,1152.93,10000.0
10,50,2,43,25.94,189.5674271583557,1034.62,6426.0
11,50,2,50,40.08,286.7952480316162,1435.12,10000.0
12,50,2,44,47.73,229.24260807037354,1075.03,10000.0
13,50,2,44,33.44,192.30011510849,1058.25,10000.0
14,50,2,43,83.24,170.93448543548584,1148.51,10000.0
15,50,2,42,35.31,153.5882284641266,1059.57,10000.0
16,50,2,45,15.62,105.5576024055481,1300.05,10000.0
17,50,2,45,27.81,120.12085461616516,1160.64,10000.0
18,50,2,50,27.81,181.6376714706421,1514.25,10000.0
19,50,2,41,57.58,287.30452132225037,1012.27,10000.0
20,50,2,44,56.48,196.13152933120728,1241.98,8262.0
21,50,2,45,16.88,58.90481638908386,1312.93,10000.0
22,50,2,41,48.83,113.31300354003906,1055.03,9180.0
23,50,2,42,49.92,65.76240634918213,1024.48,10000.0
24,50,2,49,10.62,457.28598499298096,1306.95,10000.0
25,50,2,46,18.12,140.38131189346313,1174.71,10000.0
26,50,2,47,27.81,134.85645532608032,1647.5,3366.0
27,50,2,43,29.69,116.61333513259888,1142.87,10000.0
28,50,2,41,37.19,117.27972936630249,986.05,10000.0
29,50,2,45,80.9,165.446617603302,1186.48,10000.0
30,50,2,46,31.56,276.5630452632904,1240.56,9180.0
