number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func,iterations
1,50,2,48,60.86,43.737234354019165,1305.36,5202.0
2,50,2,45,16.88,184.19443893432617,1097.5,6120.0
3,50,2,46,47.73,366.62753415107727,1250.04,10000.0
4,50,2,47,66.33,254.69833612442017,1371.61,8262.0
5,50,2,45,60.86,223.05446314811707,1197.91,9486.0
6,50,2,48,43.36,162.7892107963562,1299.44,7650.0
7,50,2,43,40.08,190.91714644432068,1102.53,9486.0
8,50,2,45,49.92,42.64180016517639,1167.34,9486.0
9,50,2,43,29.69,119.48935914039612,1077.22,7650.0
10,50,2,43,25.94,238.4886770248413,1074.59,8262.0
11,50,2,50,40.08,261.71995282173157,1374.2,10000.0
12,50,2,44,47.73,155.15176963806152,1082.46,6732.0
13,50,2,44,33.44,235.9977526664734,1106.11,10000.0
14,50,2,43,83.24,159.58133554458618,1136.45,7344.0
15,50,2,42,35.31,184.67862844467163,977.48,9180.0
16,50,2,45,15.62,108.68976211547852,1255.28,7344.0
17,50,2,45,27.81,92.36591625213623,1202.73,5508.0
18,50,2,50,27.81,242.0808608531952,1451.15,10000.0
19,50,2,41,57.58,265.8618657588959,1033.51,6732.0
20,50,2,44,56.48,344.8200650215149,1230.38,10000.0
21,50,2,45,16.88,78.0242383480072,1116.11,10000.0
22,50,2,41,48.83,137.46286344528198,1029.15,7344.0
23,50,2,42,49.92,91.37739825248718,1013.64,10000.0
24,50,2,49,10.62,268.94087767601013,1476.1,3978.0
25,50,2,46,18.12,161.96039485931396,1194.73,8568.0
26,50,2,47,27.81,318.88450813293457,1551.74,5508.0
27,50,2,43,29.69,178.70273637771606,1135.19,9792.0
28,50,2,41,37.19,120.6048195362091,967.84,7038.0
29,50,2,45,80.9,228.94880867004395,1058.84,10000.0
30,50,2,46,31.56,447.8141071796417,1271.61,9792.0
