number,nreq,nveh,to_fulfilled,rho,avg_time,avg_obj_func
1,50,2,48,60.86,8.804946303367615,1236.26
2,50,2,45,16.88,4.1283286809921265,1348.43
3,50,2,46,47.73,11.996107339859009,1149.06
4,50,2,47,66.33,4.332139849662781,1569.34
5,50,2,45,60.86,3.882325291633606,1371.45
6,50,2,48,43.36,8.59609341621399,1387.89
7,50,2,43,40.08,5.418071150779724,1436.19
8,50,2,45,49.92,1.4977445602416992,1573.77
9,50,2,43,29.69,5.026615142822266,1187.7
10,50,2,43,25.94,3.12139356136322,1417.26
11,50,2,50,40.08,9.080441117286682,1305.84
12,50,2,44,47.73,11.484430193901062,1035.35
13,50,2,44,33.44,6.723481059074402,1209.33
14,50,2,43,83.24,5.558526039123535,1190.46
15,50,2,42,35.31,5.432722330093384,1221.72
16,50,2,45,15.62,7.461683988571167,1342.32
17,50,2,45,27.81,6.603083848953247,1247.18
18,50,2,50,27.81,11.878584861755371,1203.1
19,50,2,41,57.58,4.041550278663635,1114.63
20,50,2,44,56.48,6.350159406661987,1333.27
21,50,2,45,16.88,4.307512283325195,1346.17
22,50,2,41,48.83,6.299307107925415,1092.82
23,50,2,42,49.92,1.8326656818389893,1333.83
24,50,2,49,10.62,11.88389003276825,1235.13
25,50,2,46,18.12,7.1325507164001465,986.66
26,50,2,47,27.81,7.459097146987915,1781.65
27,50,2,43,29.69,1.4680366516113281,1506.81
28,50,2,41,37.19,6.223379850387573,1079.27
29,50,2,45,80.9,4.3170245885849,1311.92
30,50,2,46,31.56,7.307172656059265,1278.4
